Etichette di riga;Cella;Cella (Evaporatore);Freezer;Freezer  (Condensatore);Totale complessivo
2019-06-30T22:50:01+02:00;-13.22;-24.04;-18.47;35.68;-20.05
2019-06-30T23:00:01+02:00;NaN;;-16.49;33.67;17.18
2019-06-30T23:00:03+02:00;-13.66;-24.49;NaN;;-38.15
2019-06-30T23:10:01+02:00;-13.79;-24.45;-18.36;33.6;-23
2019-06-30T23:20:02+02:00;-13.88;-24.47;-16.69;33.32;-21.72
2019-06-30T23:30:01+02:00;-13.85;-24.43;-18.11;33.63;-22.76
2019-06-30T23:40:02+02:00;-13.89;-24.51;-17.01;32.96;-22.45
2019-06-30T23:50:01+02:00;-14.03;-24.68;-17.87;32.45;-24.13
2019-07-01T00:00:02+02:00;-14.04;-24.65;NaN;;-38.69
2019-07-01T00:00:03+02:00;NaN;;-17.06;34.06;17
2019-07-01T00:10:03+02:00;-13.99;-24.61;NaN;;-38.6
2019-07-01T00:10:04+02:00;NaN;;-17.66;33.54;15.88
2019-07-01T00:20:01+02:00;-13.99;-24.64;NaN;;-38.63
2019-07-01T00:20:02+02:00;NaN;;-17.2;33.88;16.68
2019-07-01T00:30:02+02:00;-13.96;-24.6;-15.83;30.24;-24.15
2019-07-01T00:40:01+02:00;NaN;;-11.35;36.59;25.24
2019-07-01T00:40:02+02:00;-13.92;-24.54;NaN;;-38.46
2019-07-01T00:50:01+02:00;-13.94;-24.51;-14.61;37.15;-15.91
2019-07-01T01:00:01+02:00;NaN;;-18.3;34.91;16.61
2019-07-01T01:00:03+02:00;-13.96;-24.51;NaN;;-38.47
2019-07-01T01:10:03+02:00;-13.98;-24.55;-16.59;33.45;-21.67
2019-07-01T01:20:02+02:00;-13.98;-24.5;-18.01;33.38;-23.11
2019-07-01T01:30:01+02:00;NaN;;-17.01;33.9;16.89
2019-07-01T01:30:02+02:00;-13.89;-24.46;NaN;;-38.35
2019-07-01T01:40:01+02:00;-13.88;-24.45;-17.56;32.87;-23.02
2019-07-01T01:50:01+02:00;-13.92;-24.48;NaN;;-38.4
2019-07-01T01:50:02+02:00;NaN;;-17.26;33.59;16.33
2019-07-01T02:00:01+02:00;-13.96;-24.55;NaN;;-38.51
2019-07-01T02:00:03+02:00;NaN;;-17.27;32.03;14.76
2019-07-01T02:10:01+02:00;-14;-24.55;-17.76;33.73;-22.58
2019-07-01T02:20:01+02:00;NaN;;-16.94;31.51;14.57
2019-07-01T02:20:02+02:00;-13.92;-24.5;NaN;;-38.42
2019-07-01T02:30:02+02:00;-13.91;-24.23;-17.94;33.03;-23.05
2019-07-01T02:40:02+02:00;NaN;;-16.89;30.72;13.83
2019-07-01T02:40:03+02:00;-12.71;-15.45;NaN;;-28.16
2019-07-01T02:50:03+02:00;-10.18;-19.91;-17.94;33.78;-14.25
2019-07-01T03:00:04+02:00;-13.34;-24.31;-16.79;31.34;-23.1
2019-07-01T03:10:01+02:00;NaN;;-18.09;33.3;15.21
2019-07-01T03:10:02+02:00;-13.82;-24.67;NaN;;-38.49
2019-07-01T03:20:03+02:00;-13.96;-24.69;-16.72;30.41;-24.96
2019-07-01T03:30:01+02:00;-14.03;-24.7;-13.35;30.84;-21.24
2019-07-01T03:40:02+02:00;-14.04;-24.67;-12.31;35.55;-15.47
2019-07-01T03:50:01+02:00;-14;-24.63;NaN;;-38.63
2019-07-01T03:50:02+02:00;NaN;;-18.43;34.96;16.53
2019-07-01T04:00:01+02:00;NaN;;-16.42;32.34;15.92
2019-07-01T04:00:03+02:00;-13.98;-24.65;NaN;;-38.63
2019-07-01T04:10:03+02:00;-13.97;-24.6;-18.37;33.37;-23.57
2019-07-01T04:20:03+02:00;-14.04;-24.64;-16.16;32;-22.84
2019-07-01T04:30:02+02:00;-14.09;-24.69;-18.47;32.95;-24.3
2019-07-01T04:40:02+02:00;NaN;;-16.41;31.55;15.14
