i	T	C	F	CS	FS
000286	04/07/2019 08:00:02	-10,21	-16,36	CSPIKE	
000287	04/07/2019 08:00:03	-13,22	-18,02	CSPIKE	
000288	04/07/2019 08:10:01	-11,61	-16,36		
000289	04/07/2019 08:10:02	-13,22	-16,47		
000290	04/07/2019 08:20:01	-13,28	-18,30		
000291	04/07/2019 08:30:01	-13,50	-16,88		
000292	04/07/2019 08:40:02	-13,49	-17,56		
000293	04/07/2019 08:50:01	-13,47	-16,36		
000294	04/07/2019 08:50:02	-13,22	-17,52		
000295	04/07/2019 09:00:02	-13,22	-16,80		
000296	04/07/2019 09:00:03	-13,49	-16,36		
000297	04/07/2019 09:10:02	-13,49	-17,92		
